Number	Binary	Hexadecimal
-39	-100111	-27
-36	-100100	-24
8	1000	8
34	100010	22
17	10001	11
49	110001	31
5	101	5
0	0	0
33	100001	21
12	1100	C
-6	-110	-6
27	11011	1B
-4	-100	-4
-38	-100110	-26
26	11010	1A
49	110001	31
29	11101	1D
42	101010	2A
-16	-10000	-10
34	100010	22
20	10100	14
0	0	0
25	11001	19
45	101101	2D
3	11	3
-46	-101110	-2E
-46	-101110	-2E
29	11101	1D
33	100001	21
29	11101	1D
26	11010	1A
-5	-101	-5
-36	-100100	-24
12	1100	C
45	101101	2D
-50	-110010	-32
0	0	0
-6	-110	-6

Execution time: 0.000446 seconds
